time,L_LEG_HIP_PITCH_q,L_LEG_HIP_PITCH_dq,L_LEG_HIP_PITCH_tau,L_LEG_HIP_ROLL_q,L_LEG_HIP_ROLL_dq,L_LEG_HIP_ROLL_tau,L_LEG_HIP_YAW_q,L_LEG_HIP_YAW_dq,L_LEG_HIP_YAW_tau,L_LEG_KNEE_q,L_LEG_KNEE_dq,L_LEG_KNEE_tau,L_LEG_ANKLE_PITCH_q,L_LEG_ANKLE_PITCH_dq,L_LEG_ANKLE_PITCH_tau,L_LEG_ANKLE_ROLL_q,L_LEG_ANKLE_ROLL_dq,L_LEG_ANKLE_ROLL_tau,L_SHOULDER_PITCH_q,L_SHOULDER_PITCH_dq,L_SHOULDER_PITCH_tau,L_SHOULDER_ROLL_q,L_SHOULDER_ROLL_dq,L_SHOULDER_ROLL_tau,L_SHOULDER_YAW_q,L_SHOULDER_YAW_dq,L_SHOULDER_YAW_tau,L_ELBOW_q,L_ELBOW_dq,L_ELBOW_tau,L_WRIST_ROLL_q,L_WRIST_ROLL_dq,L_WRIST_ROLL_tau,L_WRIST_PITCH_q,L_WRIST_PITCH_dq,L_WRIST_PITCH_tau,L_WRIST_YAW_q,L_WRIST_YAW_dq,L_WRIST_YAW_tau,WAIST_YAW_q,WAIST_YAW_dq,WAIST_YAW_tau,R_SHOULDER_PITCH_q,R_SHOULDER_PITCH_dq,R_SHOULDER_PITCH_tau,R_SHOULDER_ROLL_q,R_SHOULDER_ROLL_dq,R_SHOULDER_ROLL_tau,R_SHOULDER_YAW_q,R_SHOULDER_YAW_dq,R_SHOULDER_YAW_tau,R_ELBOW_q,R_ELBOW_dq,R_ELBOW_tau,R_WRIST_ROLL_q,R_WRIST_ROLL_dq,R_WRIST_ROLL_tau,R_WRIST_PITCH_q,R_WRIST_PITCH_dq,R_WRIST_PITCH_tau,R_WRIST_YAW_q,R_WRIST_YAW_dq,R_WRIST_YAW_tau,R_LEG_HIP_PITCH_q,R_LEG_HIP_PITCH_dq,R_LEG_HIP_PITCH_tau,R_LEG_HIP_ROLL_q,R_LEG_HIP_ROLL_dq,R_LEG_HIP_ROLL_tau,R_LEG_HIP_YAW_q,R_LEG_HIP_YAW_dq,R_LEG_HIP_YAW_tau,R_LEG_KNEE_q,R_LEG_KNEE_dq,R_LEG_KNEE_tau,R_LEG_ANKLE_PITCH_q,R_LEG_ANKLE_PITCH_dq,R_LEG_ANKLE_PITCH_tau,R_LEG_ANKLE_ROLL_q,R_LEG_ANKLE_ROLL_dq,R_LEG_ANKLE_ROLL_tau
1749293833.5316591,0.023647097870707512,-0.015427464619278908,-0.11186079680919647,-0.03497312217950821,0.0021816615480929613,-0.263671875,-0.07710933685302734,-0.010284976102411747,0.11186079680919647,0.13907241821289062,-0.011999138630926609,-0.17578125,-0.27460047602653503,0.0009480680455453694,0.003992050886154175,-0.2164786010980606,-0.0018388425232842565,-0.10221803933382034,0.09754443168640137,0.003067961661145091,-0.0625,0.08119142055511475,0.0,-0.0625,0.0030999183654785156,0.0,0.0625,1.4411349296569824,-0.003067961661145091,-0.0625,0.04919731616973877,-0.00920388475060463,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.03377795219421387,-0.018855789676308632,-0.11186079680919647,0.12515592575073242,0.01073786523193121,0.0625,-0.04569435119628906,-0.0015339808305725455,-0.0625,-0.00830078125,0.004601942375302315,0.0625,1.4972690343856812,0.0,0.0625,-0.08452677726745605,-0.019941750913858414,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.04062822461128235,0.003428325057029724,0.11186079680919647,0.00029812194406986237,-0.015271631069481373,-0.17578125,-0.00771486759185791,-0.001714162528514862,0.11186079680919647,0.15636396408081055,-0.008726646192371845,0.263671875,-0.29964739084243774,-0.003912269603461027,0.0016964104725047946,-0.18681901693344116,-0.006588030140846968,-0.10287648439407349
1749293833.6319997,0.0236604493111372,0.006856650114059448,-0.11186079680919647,-0.03496459871530533,-0.006544984877109528,-0.263671875,-0.07712268829345703,0.0051424880512058735,0.11186079680919647,0.13907241821289062,-0.0010908307740464807,-0.17578125,-0.2745914161205292,0.001312573323957622,0.003992050886154175,-0.21646367013454437,-0.004638409707695246,-0.10221803933382034,0.09754443168640137,-0.00920388475060463,-0.0625,0.08119142055511475,-0.00920388475060463,-0.0625,0.0030999183654785156,0.006135923322290182,0.0625,1.4411349296569824,-0.003067961661145091,-0.0625,0.04919731616973877,-0.006135923322290182,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.03375124931335449,0.0,-0.11186079680919647,0.1251680850982666,0.0,0.0625,-0.04571819305419922,-0.0015339808305725455,-0.0625,-0.008288860321044922,-0.01073786523193121,0.0625,1.4972690343856812,-0.006135923322290182,0.0625,-0.08452677726745605,0.0,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.040654927492141724,0.0,0.11186079680919647,0.00029812194406986237,-0.0054541537538170815,-0.17578125,-0.0077550411224365234,-0.011999138630926609,0.11186079680919647,0.1563553810119629,0.01745329238474369,0.263671875,-0.2996436059474945,-0.00286646606400609,0.0016964104725047946,-0.1868261992931366,-0.0065707853063941,-0.10287648439407349
1749293833.7320044,0.0236604493111372,0.008570813573896885,-0.11186079680919647,-0.03491345793008804,0.006544984877109528,-0.263671875,-0.07713603973388672,-0.006856650114059448,0.11186079680919647,0.13908958435058594,-0.015271631069481373,-0.263671875,-0.2745914161205292,-0.0019338267156854272,0.003992050886154175,-0.21646367013454437,-0.015082472003996372,-0.10221803933382034,0.09754443168640137,-0.00920388475060463,-0.0625,0.08121538162231445,0.004601942375302315,0.0,0.0030879974365234375,-0.003067961661145091,0.0625,1.4411349296569824,0.004601942375302315,-0.0625,0.04920929670333862,0.0,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.03376460075378418,-0.018855789676308632,-0.11186079680919647,0.12521600723266602,0.006135923322290182,0.0625,-0.04571819305419922,-0.007669903803616762,-0.0625,-0.00830078125,-0.003067961661145091,0.0625,1.4972929954528809,0.0,0.0625,-0.08451485633850098,0.007669903803616762,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.04069522023200989,0.013713300228118896,0.1677911877632141,0.0003238711506128311,0.006544984877109528,-0.17578125,-0.007701516151428223,0.010284976102411747,0.1677911877632141,0.1563553810119629,0.009817477315664291,0.263671875,-0.2996387183666229,0.0041112275794148445,0.0016964104725047946,-0.18680439889431,-0.0017960689729079604,-0.10287648439407349
1749293833.8315718,0.0236604493111372,-0.013713300228118896,-0.11186079680919647,-0.03490493446588516,0.0,-0.263671875,-0.07713603973388672,0.018855789676308632,0.11186079680919647,0.13908958435058594,-0.0010908307740464807,-0.17578125,-0.2746042013168335,0.00984695740044117,0.003992050886154175,-0.21647138893604279,0.006012171506881714,-0.10221803933382034,0.09754443168640137,0.0,-0.0625,0.08121538162231445,0.0,-0.0625,0.0030999183654785156,0.0015339808305725455,0.0,1.4411230087280273,0.0,-0.0625,0.04920929670333862,-0.007669903803616762,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.033724308013916016,0.010284976102411747,-0.11186079680919647,0.12520384788513184,0.003067961661145091,0.0625,-0.04571819305419922,0.0,-0.0625,-0.00830078125,-0.0015339808305725455,0.0625,1.4972810745239258,0.0,0.0625,-0.08452677726745605,-0.003067961661145091,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.04074874520301819,0.018855789676308632,0.11186079680919647,0.0003322158008813858,0.0,-0.17578125,-0.007701516151428223,0.011999138630926609,0.1677911877632141,0.15636396408081055,0.0021816615480929613,0.17578125,-0.299651175737381,0.003912269603461027,0.0016964104725047946,-0.18681184947490692,0.006588030140846968,-0.10287648439407349
1749293833.9320467,0.023714331910014153,-0.001714162528514862,-0.11186079680919647,-0.03489641100168228,0.009817477315664291,-0.17578125,-0.0771629810333252,-0.010284976102411747,0.11186079680919647,0.13908958435058594,0.004363323096185923,-0.17578125,-0.27460047602653503,-0.00043811494833789766,0.003992050886154175,-0.2164786010980606,-0.0075205848552286625,-0.10221803933382034,0.09754443168640137,-0.007669903803616762,-0.0625,0.08121538162231445,-0.0015339808305725455,0.0,0.0030999183654785156,0.0015339808305725455,0.0625,1.4411110877990723,-0.004601942375302315,-0.0625,0.04922127723693848,0.003067961661145091,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.03377795219421387,-0.020569952204823494,-0.11186079680919647,0.12515592575073242,0.003067961661145091,0.0,-0.04569435119628906,0.012271846644580364,0.0,-0.008288860321044922,0.007669903803616762,0.0625,1.4973170757293701,0.007669903803616762,0.0625,-0.0845029354095459,0.007669903803616762,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.04072192311286926,0.011999138630926609,0.11186079680919647,0.00034079886972904205,-0.007635815534740686,-0.17578125,-0.007674694061279297,0.008570813573896885,0.1677911877632141,0.15636396408081055,0.007635815534740686,0.263671875,-0.29964250326156616,-0.0050300611183047295,0.0016964104725047946,-0.18679721653461456,-0.00847032479941845,-0.10287648439407349
1749293834.0318358,0.02378108911216259,-0.015427464619278908,-0.11186079680919647,-0.03491345793008804,-0.008726646192371845,-0.263671875,-0.07713603973388672,-0.013713300228118896,0.11186079680919647,0.13908958435058594,-0.019634954631328583,-0.17578125,-0.27460047602653503,-0.0017147690523415804,0.003992050886154175,-0.2164786010980606,-0.011322179809212685,-0.10221803933382034,0.09755635261535645,-0.0015339808305725455,-0.0625,0.08123934268951416,-0.00920388475060463,-0.0625,0.0030760765075683594,-0.00920388475060463,0.0625,1.4411349296569824,-0.004601942375302315,-0.0625,0.04920929670333862,-0.0015339808305725455,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.03377795219421387,-0.027426600456237793,-0.11186079680919647,0.12509608268737793,0.0,0.0625,-0.04571819305419922,-0.004601942375302315,-0.0625,-0.008288860321044922,0.004601942375302315,0.0625,1.4972929954528809,0.0,0.0625,-0.08452677726745605,0.0,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.04072192311286926,-0.030854929238557816,0.11186079680919647,0.0003322158008813858,0.0021816615480929613,-0.263671875,-0.00771486759185791,-0.01714162714779377,0.11186079680919647,0.15634679794311523,0.01854412443935871,0.263671875,-0.2996349334716797,0.0009018285199999809,0.09258133918046951,-0.18681158125400543,-0.0037128536496311426,-0.054978977888822556
1749293834.1328847,0.023807791993021965,0.018855789676308632,-0.11186079680919647,-0.03489641100168228,-0.004363323096185923,-0.263671875,-0.07713603973388672,0.003428325057029724,0.11186079680919647,0.13912367820739746,0.009817477315664291,-0.17578125,-0.2746087312698364,0.0009839870035648346,0.003992050886154175,-0.2164788544178009,-0.010278847999870777,-0.10221803933382034,0.0975804328918457,0.006135923322290182,-0.0625,0.08123934268951416,-0.006135923322290182,-0.0625,0.003123760223388672,0.006135923322290182,0.0625,1.4411110877990723,-0.004601942375302315,-0.0625,0.04919731616973877,-0.01073786523193121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03380465507507324,0.0,-0.11186079680919647,0.1250600814819336,0.0,0.0625,-0.04571819305419922,0.0,-0.0625,-0.008288860321044922,0.006135923322290182,0.0625,1.4973050355911255,0.00920388475060463,0.0625,-0.0845029354095459,0.004601942375302315,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.040654927492141724,0.003428325057029724,0.11186079680919647,0.00035796500742435455,0.011999138630926609,-0.263671875,-0.00771486759185791,-0.001714162528514862,0.11186079680919647,0.15633869171142578,0.006544984877109528,0.263671875,-0.2996387183666229,0.00474211061373353,0.0016964104725047946,-0.18680439889431,0.00101012724917382,-0.10287648439407349
1749293834.232511,0.023807791993021965,-0.001714162528514862,-0.11186079680919647,-0.0348878875374794,-0.021816615015268326,-0.17578125,-0.0771629810333252,-0.001714162528514862,0.11186079680919647,0.1390979290008545,0.004363323096185923,-0.17578125,-0.2745959460735321,0.0018961360910907388,0.003992050886154175,-0.2164711356163025,-0.003677685046568513,-0.10221803933382034,0.0975804328918457,-0.012271846644580364,-0.0625,0.08127522468566895,-0.00920388475060463,-0.0625,0.003123760223388672,-0.0015339808305725455,0.0625,1.4411230087280273,-0.006135923322290182,-0.0625,0.04919731616973877,-0.003067961661145091,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.03380465507507324,0.010284976102411747,-0.11186079680919647,0.1250600814819336,0.004601942375302315,0.0,-0.04571819305419922,0.0015339808305725455,-0.0625,-0.008276939392089844,0.003067961661145091,0.0625,1.4973050355911255,0.007669903803616762,0.0625,-0.08451485633850098,-0.013805827125906944,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.04054787755012512,0.018855789676308632,0.11186079680919647,0.00035796500742435455,-0.003272492438554764,-0.17578125,-0.007701516151428223,-0.008570813573896885,0.1677911877632141,0.15632152557373047,0.0,0.17578125,-0.29964739084243774,0.0009738162043504417,0.0016964104725047946,-0.18681901693344116,-0.0018478042911738157,-0.10287648439407349
1749293834.3323193,0.023767737671732903,-0.013713300228118896,-0.11186079680919647,-0.03489641100168228,0.003272492438554764,-0.263671875,-0.07717633247375488,-0.011999138630926609,0.11186079680919647,0.1390979290008545,-0.006544984877109528,-0.17578125,-0.27460789680480957,-0.0030991805251687765,0.003992050886154175,-0.21646423637866974,0.010196240618824959,-0.10221803933382034,0.09760427474975586,0.0,-0.0625,0.08131122589111328,0.0015339808305725455,-0.0625,0.0030999183654785156,0.0015339808305725455,0.0625,1.4411230087280273,0.00920388475060463,-0.0625,0.04919731616973877,-0.015339807607233524,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.03381800651550293,-0.018855789676308632,-0.11186079680919647,0.12504816055297852,-0.0015339808305725455,0.0625,-0.04571819305419922,0.007669903803616762,-0.0625,-0.00830078125,-0.00920388475060463,0.0625,1.4972929954528809,-0.00920388475060463,0.0625,-0.08451485633850098,0.0,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.04050770401954651,0.0,0.11186079680919647,0.0003748927265405655,0.0,-0.263671875,-0.00771486759185791,-0.006856650114059448,0.11186079680919647,0.15632152557373047,-0.0010908307740464807,0.263671875,-0.2996349334716797,-0.007896527647972107,0.0016964104725047946,-0.18681158125400543,-0.01504111010581255,-0.10287648439407349
1749293834.4321165,0.023714331910014153,-0.022284114733338356,-0.11186079680919647,-0.03489641100168228,0.0021816615480929613,-0.263671875,-0.0771493911743164,0.01714162714779377,0.11186079680919647,0.1390979290008545,-0.011999138630926609,-0.17578125,-0.27459967136383057,-0.0026987562887370586,0.09285525232553482,-0.21646392345428467,-0.001043332158587873,-0.0564020611345768,0.09760427474975586,0.007669903803616762,-0.0625,0.08131122589111328,0.0,0.0,0.003123760223388672,0.004601942375302315,0.0625,1.4411349296569824,-0.004601942375302315,-0.0625,0.04919731616973877,-0.007669903803616762,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.03380465507507324,-0.039425741881132126,-0.11186079680919647,0.12504816055297852,0.006135923322290182,0.0625,-0.04569435119628906,0.003067961661145091,-0.0625,-0.008288860321044922,0.0015339808305725455,0.0625,1.4972929954528809,-0.004601942375302315,0.0625,-0.08453869819641113,-0.01073786523193121,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.04049423336982727,0.0051424880512058735,0.1677911877632141,0.00036630965769290924,0.011999138630926609,-0.17578125,-0.007701516151428223,0.013713300228118896,0.1677911877632141,0.15632152557373047,-0.014180800877511501,0.17578125,-0.29964250326156616,-0.005516969133168459,0.0016964104725047946,-0.18679721653461456,-0.00754642253741622,-0.10287648439407349
