time,L_SHOULDER_PITCH_q,L_SHOULDER_PITCH_dq,L_SHOULDER_PITCH_tau,L_SHOULDER_ROLL_q,L_SHOULDER_ROLL_dq,L_SHOULDER_ROLL_tau,L_SHOULDER_YAW_q,L_SHOULDER_YAW_dq,L_SHOULDER_YAW_tau,L_ELBOW_q,L_ELBOW_dq,L_ELBOW_tau,L_WRIST_ROLL_q,L_WRIST_ROLL_dq,L_WRIST_ROLL_tau,L_WRIST_PITCH_q,L_WRIST_PITCH_dq,L_WRIST_PITCH_tau,L_WRIST_YAW_q,L_WRIST_YAW_dq,L_WRIST_YAW_tau,WAIST_YAW_q,WAIST_YAW_dq,WAIST_YAW_tau,R_SHOULDER_PITCH_q,R_SHOULDER_PITCH_dq,R_SHOULDER_PITCH_tau,R_SHOULDER_ROLL_q,R_SHOULDER_ROLL_dq,R_SHOULDER_ROLL_tau,R_SHOULDER_YAW_q,R_SHOULDER_YAW_dq,R_SHOULDER_YAW_tau,R_ELBOW_q,R_ELBOW_dq,R_ELBOW_tau,R_WRIST_ROLL_q,R_WRIST_ROLL_dq,R_WRIST_ROLL_tau,R_WRIST_PITCH_q,R_WRIST_PITCH_dq,R_WRIST_PITCH_tau,R_WRIST_YAW_q,R_WRIST_YAW_dq,R_WRIST_YAW_tau
1749031181.466827,0.08455348014831543,0.0,-0.125,-0.026391029357910156,0.01073786523193121,-0.125,-0.23923301696777344,0.00920388475060463,0.0625,1.0332159996032715,0.01073786523193121,-0.125,-0.37189245223999023,-0.006135923322290182,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.02398848533630371,0.011999138630926609,-0.11186079680919647,0.03560996055603027,0.0,0.0625,-0.12814569473266602,0.015339807607233524,-0.1875,-0.04956245422363281,0.003067961661145091,0.0625,1.3429481983184814,0.0,0.0,-0.9608852863311768,-0.007669903803616762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1749031181.5665452,0.08455348014831543,-0.00920388475060463,-0.0625,-0.026391029357910156,-0.004601942375302315,-0.125,-0.23924541473388672,-0.004601942375302315,0.0625,1.0332159996032715,-0.004601942375302315,-0.0625,-0.3719162940979004,-0.006135923322290182,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0240018367767334,0.022284114733338356,-0.1677911877632141,0.035597801208496094,0.006135923322290182,0.125,-0.12814569473266602,0.0,-0.125,-0.04956245422363281,0.015339807607233524,0.0625,1.3430081605911255,-0.003067961661145091,0.125,-0.9608733654022217,-0.00920388475060463,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0
1749031181.666382,0.08457732200622559,0.0,-0.125,-0.026391029357910156,0.0015339808305725455,-0.0625,-0.23922109603881836,0.0015339808305725455,0.0625,1.0332040786743164,-0.00920388475060463,-0.0625,-0.37189245223999023,0.007669903803616762,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0240018367767334,-0.018855789676308632,-0.22372159361839294,0.035597801208496094,0.0015339808305725455,0.0625,-0.12813377380371094,-0.013805827125906944,0.0,-0.049550533294677734,0.0,0.0625,1.3429961204528809,-0.004601942375302315,0.125,-0.9608733654022217,-0.0015339808305725455,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0
1749031181.7661798,0.08455348014831543,-0.007669903803616762,-0.0625,-0.026391029357910156,0.01073786523193121,-0.125,-0.2392573356628418,0.0015339808305725455,0.0625,1.0331921577453613,0.004601942375302315,-0.125,-0.37188053131103516,0.0015339808305725455,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.024028539657592773,-0.003428325057029724,-0.22372159361839294,0.035597801208496094,0.006135923322290182,0.0625,-0.12814569473266602,-0.0015339808305725455,-0.125,-0.049550533294677734,0.016873788088560104,0.0625,1.3429481983184814,-0.007669903803616762,0.125,-0.9608492851257324,0.01840776950120926,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0
1749031181.8661282,0.08457732200622559,0.0,-0.0625,-0.026402950286865234,0.006135923322290182,-0.0625,-0.23922109603881836,-0.00920388475060463,0.0625,1.0332159996032715,-0.016873788088560104,-0.0625,-0.37189245223999023,-0.00920388475060463,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.02398848533630371,-0.006856650114059448,-0.11186079680919647,0.035597801208496094,-0.003067961661145091,0.0625,-0.12812185287475586,-0.007669903803616762,-0.0625,-0.04956245422363281,0.0015339808305725455,0.0,1.3429481983184814,-0.013805827125906944,0.125,-0.9608733654022217,0.004601942375302315,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0
1749031181.9665346,0.08455348014831543,0.00920388475060463,-0.125,-0.026402950286865234,-0.004601942375302315,-0.0625,-0.23924541473388672,0.003067961661145091,0.0625,1.0332279205322266,-0.013805827125906944,-0.0625,-0.3719043731689453,-0.003067961661145091,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.02398848533630371,-0.018855789676308632,-0.1677911877632141,0.03563380241394043,0.004601942375302315,0.0625,-0.12814569473266602,-0.004601942375302315,-0.125,-0.049550533294677734,-0.007669903803616762,0.0625,1.342960238456726,0.006135923322290182,0.0625,-0.9608733654022217,-0.003067961661145091,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0
1749031182.0664425,0.08455348014831543,-0.004601942375302315,-0.125,-0.026378989219665527,-0.006135923322290182,-0.0625,-0.23922109603881836,0.012271846644580364,0.0625,1.0332159996032715,-0.02147573046386242,-0.0625,-0.3719162940979004,0.0,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.024015188217163086,0.027426600456237793,-0.22372159361839294,0.035597801208496094,-0.0015339808305725455,0.0625,-0.1281576156616211,-0.003067961661145091,-0.125,-0.04956245422363281,-0.00920388475060463,0.0625,1.342960238456726,0.016873788088560104,0.0625,-0.9608612060546875,0.003067961661145091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1749031182.166413,0.08457732200622559,0.004601942375302315,-0.0625,-0.026391029357910156,0.0,-0.0625,-0.23924541473388672,0.003067961661145091,0.0625,1.0332040786743164,-0.003067961661145091,-0.0625,-0.37189245223999023,0.016873788088560104,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.02398848533630371,0.0,-0.22372159361839294,0.035585880279541016,-0.00920388475060463,0.125,-0.1281576156616211,-0.013805827125906944,-0.0625,-0.04956245422363281,0.0015339808305725455,0.0625,1.3429362773895264,-0.007669903803616762,0.0625,-0.9608733654022217,-0.004601942375302315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1749031182.2664464,0.08457732200622559,-0.00920388475060463,-0.0625,-0.026378989219665527,0.003067961661145091,-0.125,-0.23924541473388672,0.004601942375302315,0.0625,1.0332040786743164,0.006135923322290182,-0.125,-0.37189245223999023,0.004601942375302315,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.024015188217163086,-0.015427464619278908,-0.1677911877632141,0.03562188148498535,0.006135923322290182,0.0625,-0.12814569473266602,-0.006135923322290182,-0.0625,-0.04956245422363281,0.003067961661145091,0.0625,1.3429721593856812,0.01840776950120926,0.0625,-0.9608492851257324,0.0,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0
1749031182.3666737,0.08457732200622559,0.0,-0.0625,-0.026391029357910156,0.0,-0.0625,-0.23922109603881836,0.003067961661145091,0.0,1.0332159996032715,0.0,-0.0625,-0.37189245223999023,0.004601942375302315,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.02398848533630371,-0.039425741881132126,0.0,0.035597801208496094,-0.0015339808305725455,0.0625,-0.12814569473266602,-0.004601942375302315,-0.0625,-0.049538612365722656,0.013805827125906944,0.0625,1.342960238456726,0.0,0.0625,-0.9608612060546875,-0.012271846644580364,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0
