time,L_SHOULDER_PITCH_q,L_SHOULDER_PITCH_dq,L_SHOULDER_PITCH_tau,L_SHOULDER_ROLL_q,L_SHOULDER_ROLL_dq,L_SHOULDER_ROLL_tau,L_SHOULDER_YAW_q,L_SHOULDER_YAW_dq,L_SHOULDER_YAW_tau,L_ELBOW_q,L_ELBOW_dq,L_ELBOW_tau,L_WRIST_ROLL_q,L_WRIST_ROLL_dq,L_WRIST_ROLL_tau,L_WRIST_PITCH_q,L_WRIST_PITCH_dq,L_WRIST_PITCH_tau,L_WRIST_YAW_q,L_WRIST_YAW_dq,L_WRIST_YAW_tau,WAIST_YAW_q,WAIST_YAW_dq,WAIST_YAW_tau,R_SHOULDER_PITCH_q,R_SHOULDER_PITCH_dq,R_SHOULDER_PITCH_tau,R_SHOULDER_ROLL_q,R_SHOULDER_ROLL_dq,R_SHOULDER_ROLL_tau,R_SHOULDER_YAW_q,R_SHOULDER_YAW_dq,R_SHOULDER_YAW_tau,R_ELBOW_q,R_ELBOW_dq,R_ELBOW_tau,R_WRIST_ROLL_q,R_WRIST_ROLL_dq,R_WRIST_ROLL_tau,R_WRIST_PITCH_q,R_WRIST_PITCH_dq,R_WRIST_PITCH_tau,R_WRIST_YAW_q,R_WRIST_YAW_dq,R_WRIST_YAW_tau
1749034847.96686,0.25921154022216797,-0.003067961661145091,-0.0625,0.07680511474609375,-0.013805827125906944,-0.0625,-0.04230833053588867,0.0015339808305725455,0.0625,1.0967082977294922,0.003067961661145091,-0.0625,0.06254768371582031,-0.00920388475060463,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002982616424560547,0.0,-0.22372159361839294,0.17233800888061523,-0.019941750913858414,0.125,-0.08904123306274414,0.012271846644580364,-0.125,-0.06901311874389648,0.007669903803616762,0.0625,1.211852788925171,-0.00920388475060463,0.125,-0.09760165214538574,-0.012271846644580364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1749034848.0666192,0.25922346115112305,0.0015339808305725455,-0.125,0.07682907581329346,-0.004601942375302315,-0.0625,-0.04233217239379883,-0.006135923322290182,0.0625,1.0967082977294922,0.0,-0.0625,0.06258392333984375,0.0,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002849102020263672,-0.027426600456237793,-0.11186079680919647,0.17233800888061523,0.0015339808305725455,0.125,-0.0890650749206543,-0.006135923322290182,-0.125,-0.06901311874389648,0.003067961661145091,0.0625,1.2118767499923706,0.004601942375302315,0.125,-0.09760165214538574,0.0015339808305725455,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0
1749034848.1663363,0.25922346115112305,-0.0015339808305725455,-0.0625,0.07682907581329346,0.0,-0.0625,-0.04232025146484375,0.004601942375302315,0.0625,1.0967202186584473,0.0,-0.0625,0.06254768371582031,-0.003067961661145091,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002849102020263672,-0.023998277261853218,-0.22372159361839294,0.17232584953308105,0.007669903803616762,0.0625,-0.08902931213378906,-0.023009711876511574,-0.0625,-0.06901311874389648,0.004601942375302315,0.0625,1.211852788925171,0.003067961661145091,0.0625,-0.09760165214538574,0.003067961661145091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1749034848.2661614,0.25922346115112305,0.0,-0.125,0.07680511474609375,-0.0015339808305725455,-0.0625,-0.04230833053588867,-0.01073786523193121,0.0625,1.0967082977294922,0.0015339808305725455,-0.0625,0.06254768371582031,-0.003067961661145091,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002982616424560547,0.0051424880512058735,-0.22372159361839294,0.1723618507385254,0.0,0.125,-0.08899331092834473,0.0015339808305725455,-0.125,-0.06901311874389648,0.01073786523193121,0.0,1.211852788925171,0.0015339808305725455,0.0625,-0.09761357307434082,-0.006135923322290182,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0
1749034848.3669116,0.2592356204986572,-0.003067961661145091,-0.0625,0.07678115367889404,-0.012271846644580364,-0.0625,-0.04230833053588867,-0.006135923322290182,0.0625,1.0967082977294922,-0.007669903803616762,-0.0625,0.06254768371582031,-0.016873788088560104,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003116130828857422,-0.013713300228118896,-0.1677911877632141,0.17238593101501465,0.004601942375302315,0.125,-0.08902931213378906,-0.01073786523193121,-0.0625,-0.06898880004882812,-0.007669903803616762,0.0625,1.211852788925171,0.007669903803616762,0.0625,-0.09763765335083008,0.0,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0
1749034848.466895,0.25922346115112305,0.004601942375302315,-0.125,0.07679319381713867,0.01073786523193121,-0.1875,-0.04232025146484375,0.00920388475060463,0.0625,1.0967082977294922,-0.006135923322290182,-0.0625,0.06254768371582031,0.015339807607233524,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003249645233154297,-0.03256909176707268,-0.1677911877632141,0.17237377166748047,-0.004601942375302315,0.125,-0.0890052318572998,-0.00920388475060463,-0.0625,-0.06901311874389648,-0.00920388475060463,0.0625,1.2118407487869263,0.00920388475060463,0.0625,-0.0976254940032959,0.0,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0
1749034848.5665576,0.25922346115112305,0.003067961661145091,-0.0625,0.07680511474609375,0.0015339808305725455,-0.0625,-0.04230833053588867,0.006135923322290182,0.0625,1.0967202186584473,0.0,-0.0625,0.06257200241088867,-0.013805827125906944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002982616424560547,-0.029140762984752655,-0.1677911877632141,0.1723499298095703,0.007669903803616762,0.0,-0.08905315399169922,0.0015339808305725455,-0.125,-0.06898880004882812,0.01840776950120926,0.0625,1.211852788925171,0.0,0.125,-0.09760165214538574,0.0015339808305725455,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0
1749034848.6664693,0.2592356204986572,0.007669903803616762,-0.0625,0.07681715488433838,0.006135923322290182,-0.125,-0.04232025146484375,0.006135923322290182,0.0625,1.0967082977294922,-0.013805827125906944,-0.0625,0.06257200241088867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002713203430175781,0.0,-0.11186079680919647,0.17238593101501465,0.0,0.125,-0.08904123306274414,-0.003067961661145091,-0.0625,-0.06898880004882812,0.0,0.0625,1.211852788925171,0.004601942375302315,0.0625,-0.09758973121643066,0.0,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0
1749034848.7661855,0.25921154022216797,0.0,-0.125,0.07680511474609375,0.0,-0.0625,-0.042296409606933594,0.02454369328916073,0.0625,1.0967202186584473,0.0015339808305725455,-0.0625,0.06255960464477539,0.004601942375302315,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003249645233154297,-0.027426600456237793,-0.1677911877632141,0.17233800888061523,0.02147573046386242,0.0,-0.08904123306274414,-0.013805827125906944,-0.125,-0.06898880004882812,0.003067961661145091,0.0,1.2118288278579712,0.00920388475060463,0.0625,-0.09761357307434082,-0.016873788088560104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1749034848.8664718,0.25922346115112305,-0.003067961661145091,-0.0625,0.07676923274993896,0.0,-0.0625,-0.04230833053588867,-0.004601942375302315,0.0625,1.0967082977294922,0.0,-0.125,0.06257200241088867,-0.01073786523193121,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003383159637451172,-0.008570813573896885,-0.1677911877632141,0.17237377166748047,-0.003067961661145091,0.1875,-0.08899331092834473,-0.023009711876511574,0.0,-0.06902503967285156,0.012271846644580364,0.0625,1.2118407487869263,0.01073786523193121,0.0625,-0.09760165214538574,-0.006135923322290182,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0
